date,amount,details,category
4-10-2015,2.70,bus ticket,transport
5-10-2015,8.50,Smiley's Water and Ice Cream,food
5-10-2015,4.60,bus ticket,transport
5-10-2015,4.50,Rollo with Antonio and Daria,food
6-10-2015,4.50,bus,transport
6-10-2015,10,Indian food with Yadav,food
7-10-2015,2.30,bus,transport
8-10-2015,2.30,bus,transport
8-10-2015,3.90,Latte Macchiato with Franziska,food
11-10-2015,7,2 doeners with Aram,food
12-10-2015,20,bike repair,maintenance
13-10-2015,4,Wash Clothes,maintenance
14-10-2015,2.70,tram to Japanese restaurant,transport
15-10-2015,3.90,Masking Tape,maintenance
16-10-2015,10,KFC with Aram,food
17-10-2015,5,Flowers for Lucia at Bavarian restaurant,want
18-10-2015,7,Gardens of the World with Aram,want
20-10-2015,14,lunch with Aram and Sophie,food
21-10-2015,6,Drinks with Colleagues,food
24-10-2015,4.80,Chicken lunch at Lucia's place,food
25-10-2015,5.10,Quesadilla with Colleagues,food
25-10-2015,1.60,Beer with Colleagues,food
25-10-2015,9,Movies with Colleagues,want
26-10-2015,8.87,German lunch,food
27-10-2015,3.90,pasta with Colleagues,food
27-10-2015,1.80,Doener with Lucia,food
28-10-2015,6.90,Arabian Doener Teller El Rief,food
29-10-2015,8.40,burger lunch,food
29-10-2015,10,dinner with Franziska,food
31-10-2015,2.30,Doener Breakfast,food
31-10-2015,11,Bags Restaurant lunch with Franziska (half Czech blonde),food
31-10-2015,2.50,flower for Franziska,want
